ts-diff-r8 REF ENUMERATION - 2026-07-29T15:34:05Z
Full sweep, NO pattern used (git for-each-ref --format='%(objectname) %(refname)')
Both clones cloned from local path /workspace/farmtable. Zero commits authored by this leg.

############ /tmp/tsdiff/base  HEAD=e4e3d1352809428a5dfe386bb53c0b18a562332f ############
# ref count: 208  | all objects verified present in /workspace/farmtable
f25e7e5fe5562242b0a11ca1d07b42f021c0d72b refs/remotes/origin/feat/cli-integration-tests  [ON-ORIGIN-PATH: YES]
2915bbb73e8b4c5414e44ce90dc8d1cc673cf672 refs/remotes/origin/feat/collection-export-import  [ON-ORIGIN-PATH: YES]
fa9e58a0d3479506ca5c491ffb5f34a286fcf361 refs/remotes/origin/feat/collection-picker  [ON-ORIGIN-PATH: YES]
08788c7eccb00f77ac18d67df27237200ea8ecf1 refs/remotes/origin/feat/collection-settings-modal  [ON-ORIGIN-PATH: YES]
7fee9ced55cb8a94cfb5e78161e1b4db57797bb3 refs/remotes/origin/feat/collection-url-routing  [ON-ORIGIN-PATH: YES]
56bd5130277fe28b1b5087d8766007233234f121 refs/remotes/origin/feat/column-count-tooltip  [ON-ORIGIN-PATH: YES]
53b30624a05c4ea66c4e4af7ea298961232f1298 refs/remotes/origin/feat/column-filter-counts  [ON-ORIGIN-PATH: YES]
c20b3ff813fbdabb6807ad2c1c021d1f9423fce9 refs/remotes/origin/feat/decomposer-extras  [ON-ORIGIN-PATH: YES]
e3e10d911c8b647e2e33e34ef04eb0b6e268603c refs/remotes/origin/feat/decomposer-iap-audience-flag  [ON-ORIGIN-PATH: YES]
45f7cf0f95c639d0cdb44645ff4e638d0bb3d817 refs/remotes/origin/feat/decomposer-improvements  [ON-ORIGIN-PATH: YES]
68e0c89dc60c52c1151ebde3cffda452e896f066 refs/remotes/origin/feat/empty-filter-message  [ON-ORIGIN-PATH: YES]
7ba5cbdd28202200db84dec8c4487bfc53220619 refs/remotes/origin/feat/export-import-web-ui  [ON-ORIGIN-PATH: YES]
408f66e55bf0df3ce2d98dd1b678b9c115120a33 refs/remotes/origin/feat/extstore-a1-linkedaccount-schema  [ON-ORIGIN-PATH: YES]
f82873f7fff4d6881d9d5375150a09c732706db5 refs/remotes/origin/feat/extstore-a2-proto-rpcs  [ON-ORIGIN-PATH: YES]
